dataset,condition,layer,relative_depth,mean,sem,count,metric
Baseline 200,AuriStream-MTP 7B 40Pred,17,0.1770833333333333,0.0791524655735254,0.0223404161229348,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,18,0.1875,0.0795585038765415,0.02212158154142,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,19,0.1979166666666666,0.0782439589350047,0.0224979391617758,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,20,0.2083333333333333,0.0774407195755698,0.0224684888533176,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,21,0.21875,0.0792240098823384,0.0234982081229822,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,22,0.2291666666666666,0.0805749066019229,0.0242895086293086,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,23,0.2395833333333333,0.0860063813637192,0.0244029814021703,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,24,0.25,0.0819309306290251,0.0252329385920333,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,25,0.2604166666666667,0.0897499174802454,0.0246633190623742,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,26,0.2708333333333333,0.0861946443514082,0.0241372380809972,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,27,0.28125,0.0890870863044039,0.0235447256991068,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,28,0.2916666666666667,0.0908496696529916,0.0237722797947074,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,29,0.3020833333333333,0.0949343477324633,0.0237739823023815,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,30,0.3125,0.0945113154457324,0.0216625017846885,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,31,0.3229166666666667,0.0940096631635737,0.0210764926461563,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,32,0.3333333333333333,0.0939086479654501,0.0203580199379314,8,mean participant-level r_cv_norm in language fROIs
